record_id,machine_serial,machine_type_class,ambient_temp_k,engine_temp_k,rpm_speed,torque_nm,operating_hours_wear,failure_flag,TWF,HDF,PWF,OSF,RNF,worker_x,worker_y,worker_z,machine_x,machine_y,machine_z,distance_3d,worker_speed,machine_speed,relative_speed,direction_worker,direction_machine,ttc,in_restricted_zone,machine_status,risk_level
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,187.27005942368123,112.09224554000954,-252.50126675752222,363.92656771574144,173.80831520568557,-495.11937211642186,306.3983358715635,0.7469038309217133,7.755,8.501903830921712,5,1,36.038791071381254,0,3,0
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,475.3571532049581,99.87362886942098,-661.6160033009663,285.43771631744795,206.88329757695075,-269.0662709337489,449.0164296394267,0.6707828258081179,7.04,7.710782825808118,4,6,58.232275474879316,0,2,0
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,365.99697090570254,52.846173750858014,-540.0202292225854,29.125566207435337,3.797549214206042,-723.0062127870491,386.48671523530453,1.1103487025341896,7.49,8.60034870253419,4,4,44.938493612639434,0,0,0
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,299.3292420985183,182.1800010304464,-302.5395223566363,297.33912547107246,160.08006555653967,-304.94198537623265,22.319039869631606,0.24796540258649913,7.165,7.412965402586499,5,5,3.0108112823303,0,0,2
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,78.00932022121826,142.98724815258868,-438.43299160664003,266.32974388786533,109.30062256537187,-301.3254216377823,235.36749235228723,0.6789734527286383,7.04,7.718973452728639,5,5,30.492071749396338,0,3,0
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,77.99726016810132,259.7102976972011,-246.07172102382958,325.7655959613435,193.08309683884895,-462.78506701222966,335.84670081074194,0.7254705786551208,7.125,7.850470578655121,7,7,42.780454680498465,0,0,0
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,29.04180608409973,9.632874144617476,-79.09407408285517,411.4368082579333,36.71772905397056,-634.095893715682,674.5269059487069,0.8536421459552628,7.79,8.643642145955262,3,6,78.03734751609859,0,1,0
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,433.0880728874676,193.1603782665379,-712.5899842136018,239.13646207776966,171.43682417676058,-413.1579707145306,357.41946064264044,1.0704815590695598,7.635,8.70548155906956,1,3,41.056828185486545,0,1,0
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,300.5575058716044,228.88466355346833,-267.82421270145426,338.26523937952857,203.537859169929,-336.030821352035,81.95410375555034,0.8618927657801158,8.334999999999999,9.196892765780115,7,6,8.911064404326419,0,1,1
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,354.03628889802275,227.8459707564921,-627.2418832759141,366.8278304785445,47.231413732886054,-496.1982495295208,223.51213768003413,0.7347342766603008,8.705,9.439734276660301,3,5,23.6777997271244,0,2,0
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.292247147901223,265.82219012865755,-489.14245444432305,306.52634648905297,273.64644112776114,-670.299552206917,347.32370288525715,1.0506844870739194,8.91,9.96068448707392,4,0,34.86946136442557,0,3,0
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,484.95492608099715,218.71012284884821,-775.3529556536452,176.10812618371318,227.23992211353388,-314.3624986001925,554.9516238165629,0.8852380006663372,7.115,8.000238000666338,4,3,69.36688930633578,0,3,0
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,416.22132040021086,278.34301849430886,-698.0694632804758,65.94774151382154,160.1758681717847,-709.094758930247,369.83322271720056,0.8388163696114261,6.695,7.533816369611427,4,5,49.089758042015504,0,3,0
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,106.16955533913807,99.79697994626744,-560.1670332133252,323.7692722647509,49.819810775070316,-309.8485187226378,335.4202035377383,1.280495920987272,8.71,9.990495920987273,3,2,33.57392928143968,0,1,0
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,90.91248360355031,150.96282502546293,-543.5106460340113,384.3481659061999,259.66541082463505,-596.8703923607308,317.43978064492757,1.0907067167886964,10.175,11.265706716788698,3,7,28.177529259825622,0,3,0
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,91.7022549267169,4.223898984867203,-125.31108765342822,94.91355932698087,20.5877906247261,-798.9537433360019,673.8490312975323,1.5963297023932386,7.71,9.306329702393239,7,0,72.40760351787705,0,1,0
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,152.12112147976887,2.087276190987364,-243.6403180501137,156.34631892034406,-0.06642811156757844,-248.80245916842796,7.009881351355207,0.21391600892366858,6.555,6.768916008923668,2,6,1.0355988081568552,1,3,2
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,262.37821581611894,72.03798613545597,-70.86277385971914,276.79270485020817,72.98583084012216,-69.80897573367619,14.484004770383569,1.1883614741448518,7.05,8.238361474144853,5,5,1.7581171712166246,1,2,2
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,215.97250932105788,30.242159141725576,-350.69636724856963,102.85153776265815,76.15825546273749,-627.9436233330166,302.9367642166128,1.2456360069826293,6.53,7.77563600698263,5,0,38.95974090666942,0,1,0
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,145.61457009902097,78.06341038072608,-618.7147009315115,122.65657493091841,137.7953698303964,-426.12996398075364,202.93806303458274,0.595401076511024,8.16,8.755401076511024,4,2,23.178614121861834,0,1,0
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,305.92644736118973,53.11298835851922,-554.2587275587679,118.83707416383804,161.67303686894283,-547.5263164166531,216.4094338418497,0.7651586983032578,6.875,7.6401586983032574,6,3,28.325253752897876,0,3,0
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,69.74693032602092,8.556007451594471,-560.1230575310246,209.46547724668247,137.47024762118423,-578.7351767301653,191.01456659953132,0.8259321534956857,7.25,8.075932153495685,7,2,23.65232433470237,0,1,0
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,146.07232426760908,272.79124392181484,-555.1292542525613,195.23095916588701,25.16809696726533,-228.06477489611882,413.16457731688155,0.6653601238675856,7.905,8.570360123867586,6,2,48.208543322031474,0,1,0
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,183.18092164684586,2.4669394166674574,-295.2768701661382,277.0893661133862,221.24233158854634,-737.7311006935173,502.4412545498825,0.6978146554001672,8.79,9.487814655400166,4,1,52.95647868330867,0,1,0
