worker_x,worker_y,worker_z,machine_x,machine_y,machine_z,distance_3d,worker_speed,machine_speed,relative_speed,direction_worker,direction_machine,ttc,in_restricted_zone,machine_status,risk_level
187.27005942368123,254.17097330892594,-364.4157174367242,182.21268993506067,267.3573148167907,-358.78792177442915,15.202916579492694,1.286804507126044,0.0,1.6578795444955015,6,2,12.794842237193276,0,0,2
475.3571532049581,148.35511311581112,-404.7712628270762,204.919746718209,290.9952700118901,-635.5747395175525,383.0833460737081,0.7526023828964011,2.1771061506949203,0.5132480013669146,7,5,300.0,0,1,0
365.99697090570254,58.63968318965574,-536.7222877974989,328.72258335512066,157.3387321478887,-139.24736510300954,411.23861249099764,1.114897312084673,10.720061564490713,4.063085907352024,1,6,99.73373674058303,0,3,0
299.3292420985183,220.99253598302778,-430.0905065779173,159.1076720921873,181.11904790309927,-432.24585740998344,145.7965338542377,0.436341689628815,3.9015348923049746,3.7678453642621155,3,0,38.552940454983606,0,1,0
78.00932022121826,125.60344070498871,-526.1775234130923,323.08093282897755,234.51159158082498,-259.74091552203504,378.0337903651664,0.6815940655038861,0.0,0.6499893861514114,1,1,300.0,0,0,0
77.99726016810132,178.38824503574915,-306.5514983913857,377.99637606791754,82.06155280384353,-204.83022761355699,331.09744503041395,1.044957572641179,3.541155777701616,6.143954326400174,1,4,56.76059266409876,0,1,0
29.04180608409973,32.179587052181645,-173.7277620046916,405.7415684333724,144.87710688818757,-72.23851443109402,406.08313102644445,0.8576463756310426,0.0,0.5216610532287943,5,2,300.0,0,0,0
433.0880728874676,189.47519685479767,-209.82917236851074,498.5174352363469,180.2772489142988,-150.61288915826208,88.72526078256095,1.0006316757471103,3.545056175691813,3.7692119056444024,1,7,20.605740747245918,0,1,0
300.5575058716044,112.0651466835373,-544.4806824710053,313.0975008307528,82.86541926468324,-217.33523975848004,328.685284493366,0.7607048203102993,4.1235817889927295,3.9635392932592235,0,0,83.10714350873843,1,1,2
354.03628889802275,100.25692491554834,-417.9353796132111,449.4795446395701,41.423817581922485,-396.438047282712,114.16166117573921,0.9241834920062206,0.0,1.5102336302616033,2,1,73.1648848143368,0,0,0
10.292247147901223,293.9746736333404,-792.0077754866824,217.9128068888319,113.86387931165044,-111.86830617714361,733.5774620113328,0.22440053480854505,0.0,0.1838491577880345,3,1,300.0,0,0,0
484.95492608099715,129.72919282807416,-147.2913955817337,468.95288659366884,121.95068830836244,-142.75065991388433,18.36269807850877,0.26216154106392164,0.0,0.5123966781009824,2,6,34.19631025567552,0,0,1
416.22132040021086,203.41151343472026,-615.9531306110433,246.09887349741737,7.084572497876818,-788.1347297522683,311.6607414491631,0.8101116727376635,1.0414682466617626,3.047217878311315,7,3,103.75156571824945,0,2,0
106.16955533913807,188.31826067215232,-469.1813793928991,86.76791609456129,191.5994137986578,-467.43528385048654,19.754453190597598,0.8197941827383639,9.6421125808075,17.5,5,6,0.0,1,3,2
90.91248360355031,31.291065265547292,-685.5871662357888,182.0566247923841,35.99240554013286,-685.5648894603669,91.26531416525245,1.1942328610848734,9.265166293607768,1.87230825190958,0,7,45.233572176911814,1,3,2
91.7022549267169,224.37826111929485,-291.4185706828885,97.86045956647504,229.96934905773017,-295.02110810149406,9.064327033647272,0.3703641961765619,0.0,0.20378561068671694,0,7,45.67540935981252,0,0,2
152.12112147976887,96.94776103007295,-391.026757482194,168.64154861771578,118.65477383013435,-605.7339377058495,216.43311243226051,0.912152922884085,1.5959589168889081,4.324324358619762,7,0,49.79638329417744,0,2,0
262.37821581611894,239.68186475902053,-526.4076830094743,121.3975784694054,282.7986066041221,-227.44194413483353,333.33932644511447,0.8808432191080018,4.1562182635673475,5.67059164612928,5,5,56.801019153239395,0,1,0
